ts,current_bytes,peak_bytes
1781155913,2191794176,2566107136
1781155914,2192089088,2566107136
1781155915,2192121856,2566107136
1781155916,2191876096,2566107136
1781155917,2191912960,2566107136
1781155918,2191925248,2566107136
1781155919,2191941632,2566107136
1781155920,2191966208,2566107136
1781155921,2192003072,2566107136
1781155922,2192031744,2566107136
1781155923,2192056320,2566107136
1781155924,2192089088,2566107136
1781155925,2192125952,2566107136
1781155926,2192146432,2566107136
1781155927,2192154624,2566107136
1781155928,2192171008,2566107136
1781155929,2192453632,2566107136
1781155930,2192220160,2566107136
1781155931,2192236544,2566107136
1781155932,2192265216,2566107136
1781155933,2192379904,2566107136
1781155934,2192404480,2566107136
1781155935,2192429056,2566107136
1781155936,2192453632,2566107136
1781155937,2192490496,2566107136
1781155938,2192502784,2566107136
1781155939,2192515072,2566107136
1781155940,2192535552,2566107136
1781155941,2192560128,2566107136
1781155942,2192588800,2566107136
1781155943,2192535552,2566107136
1781155944,2192543744,2566107136
1781155945,2192568320,2566107136
1781155946,2192732160,2566107136
1781155947,2192760832,2566107136
1781155948,2192748544,2566107136
1781155949,2192699392,2566107136
1781155950,2192723968,2566107136
1781155951,2192736256,2566107136
1781155952,2192756736,2566107136
1781155953,2192789504,2566107136
1781155954,2192797696,2566107136
1781155955,2192809984,2566107136
1781155956,2192695296,2566107136
1781155957,2192719872,2566107136
1781155958,2192752640,2566107136
1781155959,2192871424,2566107136
1781155960,2192887808,2566107136
1781155961,2192908288,2566107136
1781155962,2192924672,2566107136
1781155963,2193018880,2566107136
1781155964,2193035264,2566107136
1781155965,2193063936,2566107136
1781155966,2193080320,2566107136
1781155967,2193092608,2566107136
1781155968,2193137664,2566107136
1781155969,2193154048,2566107136
1781155970,2193195008,2566107136
1781155971,2193231872,2566107136
1781155972,2193244160,2566107136
1781155973,2193125376,2566107136
1781155974,2193133568,2566107136
1781155975,2193240064,2566107136
1781155976,2193276928,2566107136
1781155977,2193293312,2566107136
1781155978,2193391616,2566107136
1781155979,2193408000,2566107136
1781155980,2193432576,2566107136
1781155981,2193453056,2566107136
1781155982,2193920000,2566107136
1781155983,2193965056,2566107136
1781155984,2193985536,2566107136
1781155985,2193731584,2566107136
1781155986,2193752064,2566107136
1781155987,2193772544,2566107136
1781155988,2193801216,2566107136
1781155990,2193821696,2566107136
1781155991,2193833984,2566107136
1781155992,2193850368,2566107136
1781155993,2195558400,2566107136
1781155994,2195599360,2566107136
1781155995,2195636224,2566107136
1781155996,2195955712,2566107136
1781155997,2194251776,2566107136
1781155998,2194239488,2566107136
1781155999,2194264064,2566107136
1781156000,2194296832,2566107136
1781156001,2194321408,2566107136
1781156002,2194333696,2566107136
1781156003,2194280448,2566107136
1781156004,2194305024,2566107136
1781156005,2194329600,2566107136
